Num	Code	Area	Species	Site_category	Num_samples	Date	Responsible people	Latitude	Longitude	Remark	Num_cores	Youngest_tree	Mean_age	Oldest_tree	SD_age	Mean_TRW	SD_TRW
1	01NS	Kokořínsko	PISY	north slope	26	24,07,2020	Jirka, Vašek, Milan H,, Petr	50,583154	14,432447		26	37	66,88	158	41,04	2,29	0,83
2	02PL	Kokořínsko	PISY	plateau	27	24,07,2020	Jirka, Vašek, Milan H,, Petr	50,583294	14,43426		27	41	128,41	166	42,58	1,12	0,49
3	03SS	Kokořínsko	PISY	south slope	26	24,07,2020	Jirka, Milan H,, Petr	50,580903	14,436868		26	51	78,81	182	31,96	1,74	0,56
4	04PL	Kokořínsko	PISY	plateau	26	25,07,2020	Jirka, Milan H,, Petr	50,569243	14,440444		26	37	128,35	168	36,81	1,08	0,42
5	05PL	Kokořínsko	PISY	plateau	26	25,07,2020	Jirka, Milan H,, Petr	50,574326	14,436028		26	90	148,38	175	19,47	0,86	0,22
6	06VA	Kokořínsko	PISY	valley	26	25,07,2020	Jirka, Milan H,, Petr	50,570809	14,432219		26	49	73,27	158	17,99	1,92	0,39
7	07NS	Kokořínsko	PISY	north slope	26	25,07,2020	Jirka, Milan H,, Petr	50,574482	14,433891		26	40	118,23	136	20,43	1,02	0,36
8	08SS	Kokořínsko	PISY	south slope	66	26,07,2020	Jirka, Milan H,, Petr	50,599173	14,451654	08JS26, 08JS64 vyhozené	64	100	125,94	142	11,67	0,70	0,18
9	09NS	Kokořínsko	PISY	north slope	26	26,07,2020	Jirka, Milan H,, Petr	50,596338	14,447048		26	51	78,73	173	34,31	1,71	0,52
10	10NS	Kokořínsko	PISY	north slope	65	14,11,2017	Jirka, Vašek	50,572665	14,455987		65	29	122,22	233	88,16	1,09	0,49
11	11PL	Kokořínsko	PISY	plateau	61	01,07,2018	Jirka, Verča	50,567282	14,458482	11PL02, 11PL61 vyhozené	59	27	158,56	239	80,12	0,76	0,48
12	12NS	Kokořínsko	PISY	north slope	26	10,09,2020	Jirka, Milan H,, Petr	50,57463	14,457303		26	103	149,62	164	11,97	0,92	0,22
13	13PL	Kokořínsko	PISY	plateau	26	10,09,2020	Jirka, Milan H,, Petr	50,579373	14,453595	13PL14 vyhozen	25	119	138,48	158	9,36	0,90	0,20
14	14VA	Kokořínsko	PISY	valley	35	10,09,2020	Jirka, Milan H,, Petr	50,58407	14,460131		35	98	119,31	130	8,96	1,46	0,26
15	15SS	Kokořínsko	PISY	south slope	26	11,09,2020	Jirka, Milan H,, Petr	50,583267	14,447297		26	42	94,50	164	45,93	1,91	0,79
16	16SS	Kokořínsko	PISY	south slope	26	11,09,2020	Jirka, Milan H,, Petr	50,587257	14,440833		26	98	143,50	164	16,17	1,02	0,22
17	17VA	Kokořínsko	PISY	valley	26	11,09,2020	Jirka, Milan H,, Petr	50,590041	14,454068		26	76	110,00	132	17,60	1,43	0,33
18	18VA	Kokořínsko	PISY	valley	26	11,09,2020	Jirka, Milan H,, Petr	50,588811	14,45881		26	40	61,04	67	5,57	2,59	0,50
19	19SS	Kokořínsko	PISY	south slope	26	12,09,2020	Jirka, Milan H,, Petr	50,577946	14,454158		26	110	144,04	160	12,60	0,95	0,17
20	20VA	Kokořínsko	PISY	valley	26	12,09,2020	Jirka, Milan H,, Petr	50,595737	14,452868		26	62	94,73	143	21,04	1,52	0,40
21	21SS	Šumava	PCAB	south slope	26	10,11,2020	Jirka, Vašek, Milan M,	49,184294	13,24032		26	77	111,08	122	10,83	1,62	0,33
22	22SS	Šumava	PCAB	south slope	26	10,11,2020	Jirka, Vašek, Milan M,	49,198471	13,24376		26	87	123,08	150	16,18	1,70	0,33
23	23PL	Šumava	PCAB	plateau	26	10,11,2020	Jirka, Vašek, Milan M,	49,201473	13,248555	23PL12 vyhozen	25	59	93,28	129	21,35	1,96	0,58
24	24VA	Šumava	PCAB	valley	26	19,11,2020	Jirka, Vašek, Milan M,	49,22112	13,249751	24UD17 vyhozen	25	130	179,96	233	27,91	0,99	0,29
25	25PL	Šumava	PCAB	plateau	26	19,11,2020	Jirka, Vašek, Milan M,	49,215391	13,243904		26	73	101,54	128	13,84	1,64	0,41
