	01NS	02PL	03SS	04PL	05PL	06VA	07NS	08SS	09NS	10NS	11PL	12NS	13PL	14VA	15SS	16SS	17VA	18VA	19SS	20VA	21SS	22SS	23PL	24VA	25PL	26NS	27PL	28NS	29SS	30PL	31NS	32SS	33NS	34NS	35VA	36VA	37PL	38SS	39VA	40VA
1985	0,661	0,647	0,664	0,609	0,506	0,642	0,611	0,666	0,549	0,626	0,586	0,692	0,698	0,692	0,699	0,661	0,636	0,663	0,707	0,654	0,741	0,695	0,788	0,774	0,754	0,738	0,720	0,738	0,766	0,731	0,776	0,771	0,704	0,740	0,723	0,741	0,747	0,759	0,723	0,774
1986	0,682	0,647	0,666	0,599	0,550	0,663	0,623	0,660	0,600	0,659	0,589	0,649	0,671	0,692	0,690	0,653	0,627	0,674	0,678	0,660	0,763	0,753	0,740	0,694	0,719	0,762	0,677	0,648	0,724	0,656	0,747	0,734	0,708	0,709	0,665	0,731	0,714	0,743	0,725	0,708
1987	0,673	0,648	0,638	0,601	0,600	0,630	0,626	0,677	0,650	0,646	0,572	0,673	0,675	0,717	0,684	0,654	0,652	0,661	0,692	0,677	0,707	0,688	0,795	0,751	0,765	0,735	0,756	0,743	0,768	0,747	0,608	0,756	0,717	0,754	0,716	0,764	0,648	0,750	0,751	0,763
1988	0,707	0,683	0,707	0,647	0,642	0,663	0,646	0,690	0,636	0,664	0,602	0,701	0,659	0,739	0,712	0,665	0,684	0,684	0,709	0,700	0,760	0,755	0,754	0,661	0,648	0,758	0,682	0,715	0,739	0,734	0,734	0,677	0,693	0,642	0,739	0,567	0,650	0,710	0,665	0,727
1989	0,679	0,636	0,656	0,570	0,555	0,625	0,563	0,644	0,486	0,562	0,565	0,671	0,624	0,664	0,675	0,616	0,643	0,640	0,637	0,678	0,739	0,717	0,710	0,741	0,729	0,722	0,737	0,722	0,788	0,705	0,747	0,771	0,721	0,744	0,700	0,749	0,758	0,740	0,736	0,723
1990	0,643	0,634	0,633	0,578	0,589	0,616	0,594	0,635	0,467	0,562	0,569	0,641	0,635	0,677	0,653	0,628	0,649	0,638	0,679	0,677	0,681	0,740	0,771	0,792	0,749	0,688	0,764	0,699	0,752	0,628	0,776	0,801	0,752	0,671	0,638	0,701	0,757	0,685	0,756	0,775
1991	0,720	0,676	0,682	0,606	0,640	0,670	0,637	0,702	0,615	0,596	0,613	0,678	0,664	0,686	0,694	0,655	0,658	0,673	0,693	0,683	0,720	0,726	0,746	0,736	0,753	0,747	0,655	0,689	0,801	0,739	0,766	0,670	0,696	0,742	0,665	0,786	0,723	0,734	0,628	0,778
1992	0,625	0,624	0,647	0,580	0,618	0,613	0,592	0,629	0,546	0,600	0,577	0,646	0,651	0,674	0,652	0,639	0,617	0,628	0,670	0,632	0,677	0,663	0,710	0,695	0,680	0,648	0,667	0,660	0,721	0,703	0,648	0,690	0,663	0,685	0,654	0,683	0,686	0,685	0,696	0,663
1993	0,688	0,667	0,682	0,622	0,655	0,651	0,655	0,647	0,584	0,640	0,610	0,685	0,685	0,714	0,682	0,646	0,666	0,680	0,717	0,674	0,664	0,690	0,703	0,717	0,743	0,752	0,727	0,653	0,789	0,744	0,726	0,787	0,654	0,671	0,618	0,770	0,768	0,696	0,751	0,790
1994	0,651	0,630	0,659	0,598	0,623	0,654	0,613	0,631	0,577	0,624	0,589	0,678	0,658	0,676	0,652	0,630	0,616	0,614	0,694	0,648	0,700	0,739	0,771	0,725	0,705	0,692	0,711	0,678	0,758	0,689	0,709	0,741	0,680	0,695	0,674	0,715	0,708	0,711	0,719	0,724
1995	0,669	0,643	0,688	0,629	0,662	0,665	0,646	0,696	0,505	0,653	0,631	0,698	0,692	0,688	0,691	0,656	0,655	0,666	0,709	0,647	0,728	0,726	0,741	0,693	0,661	0,644	0,718	0,654	0,767	0,726	0,754	0,701	0,709	0,752	0,689	0,707	0,684	0,709	0,686	0,736
1996	0,722	0,686	0,705	0,650	0,658	0,687	0,686	0,711	0,573	0,664	0,638	0,733	0,710	0,740	0,724	0,694	0,695	0,697	0,732	0,686	0,697	0,651	0,698	0,748	0,745	0,732	0,694	0,691	0,748	0,699	0,750	0,749	0,740	0,722	0,703	0,762	0,742	0,732	0,715	0,765
1997	0,725	0,713	0,736	0,643	0,663	0,665	0,668	0,715	0,614	0,700	0,632	0,737	0,711	0,738	0,714	0,690	0,677	0,700	0,756	0,703	0,725	0,717	0,512	0,684	0,733	0,710	0,682	0,696	0,675	0,683	0,757	0,707	0,723	0,714	0,647	0,705	0,719	0,720	0,695	0,654
